Job Title,Job Description,Required Skills,Salary Range,Location,Company,Experience Level,Industry,Job Type,Date Posted
Software Engineer,Develop software,"Java, Python","£40,000 - £60,000",London,ABC Tech,Entry-Level,Technology,Full-Time,01-05-23
Data Analyst,Analyze data,"SQL, Excel","£35,000 - £50,000",Manchester,XYZ Analytics,Junior,Analytics,Full-Time,02-10-23
Network Engineer,Maintain networks,"Cisco, WAN","£45,000 - £70,000",Birmingham,Network Solutions,Mid-Level,Networking,Full-Time,03-15-23
Cloud Architect,Design cloud,"AWS, Azure","£60,000 - £90,000",Edinburgh,Cloud Innovators,Senior,Cloud Computing,Full-Time,04-20-23
Cybersecurity Analyst,Protect data,Cybersecurity,"£50,000 - £80,000",Glasgow,SecureGuard,Mid-Level,Security,Full-Time,05-25-23
IT Project Manager,Manage projects,"PMP, Agile","£70,000 - £100,000",Leeds,Project Leaders,Senior,Project Management,Full-Time,06-30-23
Data Scientist,Analyze big data,"R, Python","£55,000 - £85,000",Bristol,Data Insights,Mid-Level,Data Science,Full-Time,07-05-23
DevOps Engineer,Streamline devops,"Docker, Jenkins","£50,000 - £75,000",Newcastle,DevOps Solutions,Mid-Level,DevOps,Full-Time,08-10-23
IT Support Analyst,Provide IT support,"Windows, Linux","£30,000 - £45,000",Sheffield,IT Services,Entry-Level,Support,Full-Time,09-15-23
UX/UI Designer,Design user interfaces,UI/UX Design,"£40,000 - £70,000",Cardiff,Design Studios,Junior,Design,Full-Time,10-20-23
Database Analyst,Manage databases,"SQL, Oracle, Database Management","£40,000 - £65,000",London,Data Solutions,Mid-Level,Database,Full-Time,11-25-23
UI Developer,Design user interfaces,"HTML, CSS, JavaScript","£35,000 - £55,000",Manchester,Web Creations,Junior,Web Development,Full-Time,12-10-23
System Administrator,Maintain systems,"Windows Server, Active Directory","£45,000 - £70,000",Birmingham,System Services,Mid-Level,IT Services,Full-Time,01-15-23
AI/ML Engineer,Develop AI models,"Python, TensorFlow, AI/ML","£55,000 - £85,000",Edinburgh,AI Innovations,Mid-Level,Artificial Intelligence,Full-Time,02-20-23
IT Auditor,Audit IT systems,"Audit, Risk Management","£50,000 - £80,000",Glasgow,Audit Experts,Mid-Level,Audit,Full-Time,03-25-23
Network Security Engineer,Secure networks,"Firewall, VPN, Security","£55,000 - £90,000",Leeds,SecureNet,Mid-Level,Security,Full-Time,04-30-23
Software Tester,Test software,"Manual Testing, Bug Tracking","£30,000 - £50,000",Bristol,QA Solutions,Entry-Level,Quality Assurance,Full-Time,05-05-23
Cloud Solutions Architect,Design cloud solutions,"AWS, Azure, Architecture","£65,000 - £100,000",Newcastle,Cloud Architects,Senior,Cloud Computing,Full-Time,06-10-23
IT Consultant,Provide IT consultancy,"Consulting, IT Strategy","£60,000 - £90,000",Sheffield,IT Consultants,Senior,Consulting,Full-Time,07-15-23
Front-end Developer,Develop web interfaces,"JavaScript, React","£40,000 - £75,000",Cardiff,Web Studios,Mid-Level,Web Development,Full-Time,08-20-23
Business Analyst,Analyze business needs,"Business Analysis, Requirements","£45,000 - £80,000",London,Biz Analysts,Mid-Level,Business Analysis,Full-Time,09-25-23
IT Helpdesk Support,Provide IT support,"Troubleshooting, Customer Service","£25,000 - £40,000",Manchester,IT Helpdesk,Entry-Level,Support,Full-Time,10-30-23
DevSecOps Engineer,Secure DevOps pipeline,"DevSecOps, CI/CD","£60,000 - £95,000",Birmingham,Secure DevOps,Mid-Level,DevOps,Full-Time,11-05-23
Data Engineer,Build data pipelines,"ETL, Big Data, SQL","£50,000 - £85,000",Edinburgh,Data Engineers,Mid-Level,Data Engineering,Full-Time,12-10-23
IT Trainer,Train IT professionals,"Training, IT Education","£35,000 - £60,000",Glasgow,IT Training,Junior,Education,Full-Time,01-15-23
Cloud Security Engineer,Secure cloud,"Cloud Security, Encryption","£65,000 - £100,000",Leeds,SecureCloud,Mid-Level,Security,Full-Time,02-20-23
IT Procurement Specialist,Procure IT resources,"Procurement, Vendor Management","£50,000 - £80,000",Bristol,ProcureIT,Mid-Level,Procurement,Full-Time,03-25-23
UX Researcher,Conduct UX research,"User Research, UX Design","£45,000 - £75,000",Newcastle,UX Labs,Mid-Level,Design,Full-Time,04-30-23
Blockchain Developer,Develop blockchain,"Blockchain, Solidity","£55,000 - £90,000",Sheffield,Blockchain Tech,Mid-Level,Blockchain,Full-Time,05-05-23
IT Risk Analyst,Analyze IT risks,"Risk Assessment, Compliance","£50,000 - £80,000",Cardiff,Risk Analysts,Mid-Level,Risk Management,Full-Time,06-10-23
Cloud Support Engineer,Support cloud,"AWS, Azure, Cloud Services","£40,000 - £70,000",London,Cloud Support,Junior,Support,Full-Time,07-15-23
IT Sales Manager,Manage IT sales team,"Sales, IT Sales","£70,000 - £110,000",Manchester,Sales Leaders,Senior,Sales,Full-Time,08-20-23
Data Privacy Officer,Ensure data privacy,"GDPR, Data Protection","£55,000 - £85,000",Birmingham,Data Privacy,Mid-Level,Data Privacy,Full-Time,09-25-23
Software Architect,Design software,"Architecture, Design Patterns","£75,000 - £120,000",Edinburgh,Software Architects,Senior,Software Design,Full-Time,10-30-23
IT Quality Analyst,Ensure software quality,"QA, Testing","£45,000 - £75,000",Glasgow,QA Analysts,Mid-Level,Quality Assurance,Full-Time,11-05-23
Mobile App Developer,Develop mobile apps,"iOS, Android, Mobile Development","£50,000 - £90,000",Leeds,Mobile Devs,Mid-Level,Mobile Development,Full-Time,12-10-23
IT Procurement Manager,Manage procurement,"Procurement, Supply Chain","£70,000 - £110,000",Bristol,Procurement Mgmt,Senior,Procurement,Full-Time,01-15-23
IT Compliance Officer,Ensure IT compliance,"Compliance, Regulations","£60,000 - £95,000",Newcastle,Compliance Experts,Mid-Level,Compliance,Full-Time,02-20-23
Full-stack Developer,Develop full-stack apps,"JavaScript, Node.js","£55,000 - £90,000",Sheffield,Full-stack Devs,Mid-Level,Web Development,Full-Time,03-25-23
IT Business Analyst,Analyze IT needs,"Business Analysis, IT Strategy","£50,000 - £85,000",Cardiff,IT Analysts,Mid-Level,Business Analysis,Full-Time,04-30-23
IT Trainer Assistant,Assist IT training,"Training, IT Education","£30,000 - £50,000",London,IT Training Assist,Entry-Level,Education,Full-Time,05-05-23
AI Ethics Consultant,Ensure AI ethics,"Ethics, AI Governance","£60,000 - £100,000",Manchester,AI Ethics,Mid-Level,Ethics,Full-Time,06-10-23
IT Support Specialist,Provide IT support,"Windows, Troubleshooting","£35,000 - £55,000",Birmingham,IT Support Specialists,Junior,Support,Full-Time,07-15-23
Data Analytics Manager,Manage data analytics,"Data Analytics, Team Management","£70,000 - £110,000",Edinburgh,Data Managers,Senior,Analytics,Full-Time,08-20-23
IT Project Coordinator,Coordinate IT projects,Project Coordination,"£40,000 - £70,000",Glasgow,Project Coordinators,Mid-Level,Project Management,Full-Time,09-25-23
Cloud Solutions Analyst,Analyze cloud solutions,"AWS, Azure, Cloud Analysis","£45,000 - £75,000",Leeds,Cloud Analysts,Mid-Level,Cloud Computing,Full-Time,10-30-23
IT Governance Manager,Manage IT governance,"IT Governance, Compliance","£65,000 - £100,000",Bristol,IT Governance Mgmt,Senior,Governance,Full-Time,11-05-23
Cybersecurity Engineer,Secure IT systems,"Cybersecurity, Penetration Testing","£55,000 - £90,000",Newcastle,Cybersecurity Engineers,Mid-Level,Security,Full-Time,12-10-23
IT Procurement Analyst,Analyze IT procurement,Procurement Analysis,"£50,000 - £85,000",Cardiff,Procurement Analysts,Mid-Level,Procurement,Full-Time,01-15-23
UX Designer,Design user experiences,"UX Design, Prototyping","£45,000 - £75,000",London,UX Designers,Mid-Level,Design,Full-Time,02-20-23
IT Change Manager,Manage IT changes,"Change Management, IT Strategy","£60,000 - £100,000",Manchester,Change Managers,Senior,Change Management,Full-Time,03-25-23
IT Service Desk Analyst,Provide service desk support,"IT Service Desk, Troubleshooting","£30,000 - £50,000",Birmingham,Service Desk,Entry-Level,Support,Full-Time,04-30-23
Cloud Security Analyst,Analyze cloud security,"Cloud Security, Threat Analysis","£45,000 - £75,000",Edinburgh,Cloud Security,Mid-Level,Security,Full-Time,05-05-23
IT Business Continuity Manager,Ensure business continuity,"Business Continuity, Disaster Recovery","£70,000 - £110,000",Glasgow,Continuity Managers,Senior,Business Continuity,Full-Time,06-10-23
QA Automation Engineer,Automate software testing,"Test Automation, Selenium","£55,000 - £90,000",Leeds,QA Automation,Mid-Level,Quality Assurance,Full-Time,07-15-23
Data Governance Analyst,Manage data governance,"Data Governance, Data Quality","£50,000 - £85,000",Bristol,Data Governance,Mid-Level,Governance,Full-Time,08-20-23
IT Trainer Specialist,Specialize in IT training,"Training, Specialization","£40,000 - £70,000",Newcastle,IT Training Specialists,Mid-Level,Education,Full-Time,09-25-23
Machine Learning Engineer,Develop ML models,"Machine Learning, Python","£60,000 - £100,000",Cardiff,ML Engineers,Mid-Level,Machine Learning,Full-Time,10-30-23
IT Asset Manager,Manage IT assets,"IT Asset Management, Inventory","£55,000 - £90,000",London,Asset Managers,Mid-Level,Asset Management,Full-Time,11-05-23
IT Security Consultant,Provide security consultancy,Security Consulting,"£50,000 - £85,000",Manchester,Security Consultants,Mid-Level,Security,Full-Time,12-10-23
Data Analyst Intern,Analyze data as an intern,"SQL, Excel","£20,000 - £30,000",Birmingham,Data Interns,Internship,Analytics,Full-Time,01-15-23
IT Sales Representative,Sell IT solutions,"Sales, IT Sales","£40,000 - £70,000",Edinburgh,Sales Reps,Junior,Sales,Full-Time,02-20-23
Cloud Migration Specialist,Migrate to the cloud,"Cloud Migration, AWS, Azure","£55,000 - £90,000",Glasgow,Cloud Migrators,Mid-Level,Cloud Computing,Full-Time,03-25-23
IT Procurement Coordinator,Coordinate IT procurement,Procurement Coordination,"£45,000 - £75,000",Leeds,Procurement Coordinators,Mid-Level,Procurement,Full-Time,04-30-23
IT Analyst Trainee,Train as an IT analyst,"IT Analysis, Training","£25,000 - £35,000",Bristol,IT Analyst Trainees,Entry-Level,Training,Full-Time,05-05-23
UX Research Assistant,Assist in UX research,"UX Research, Support","£30,000 - £45,000",Newcastle,UX Research Assistants,Entry-Level,Research,Full-Time,06-10-23
IT Compliance Specialist,Ensure IT compliance,"Compliance, Regulations","£50,000 - £85,000",Cardiff,Compliance Specialists,Mid-Level,Compliance,Full-Time,07-15-23
Software Development Intern,Intern in software dev,"Programming, Internship","£20,000 - £30,000",London,Dev Interns,Internship,Software Development,Full-Time,08-20-23
Network Administrator Trainee,Train as network admin,"Networking, Training","£25,000 - £35,000",Manchester,Network Admin Trainees,Entry-Level,Networking,Full-Time,09-25-23
Cloud Solutions Intern,Intern in cloud solutions,"Cloud Computing, Internship","£20,000 - £30,000",Birmingham,Cloud Interns,Internship,Cloud,Full-Time,10-30-23
Data Engineer,Build data pipelines,"Big Data, Python, SQL","£55,000 - £85,000",Cardiff,Data Innovators,Mid-Level,Data Engineering,Full-Time,01-05-23
Software Developer,Develop software,"Java, C++, Software Design","£50,000 - £80,000",Leeds,CodeCrafters,Mid-Level,Software Development,Full-Time,02-10-23
IT Analyst,Analyze IT systems,"IT Analysis, Troubleshooting","£40,000 - £65,000",Birmingham,IT Insights,Junior,IT Analysis,Full-Time,03-15-23
Cloud Solutions Architect,Design cloud solutions,"AWS, Azure, Cloud Architecture","£60,000 - £90,000",Manchester,Cloud Architects,Senior,Cloud Computing,Full-Time,04-20-23
Cybersecurity Analyst,Protect data,"Cybersecurity, Threat Analysis","£50,000 - £80,000",Edinburgh,SecureGuard,Mid-Level,Security,Full-Time,05-25-23
IT Project Manager,Manage projects,"PMP, Agile, Project Management","£70,000 - £100,000",Glasgow,Project Leaders,Senior,Project Management,Full-Time,06-30-23
Data Scientist,Analyze big data,"R, Python, Machine Learning","£55,000 - £85,000",Newcastle,Data Insights,Mid-Level,Data Science,Full-Time,07-05-23
DevOps Engineer,Streamline devops,"Docker, Jenkins, DevOps","£50,000 - £75,000",Sheffield,DevOps Solutions,Mid-Level,DevOps,Full-Time,08-10-23
IT Support Analyst,Provide IT support,"Windows, Linux, Troubleshooting","£30,000 - £45,000",Cardiff,IT Services,Entry-Level,Support,Full-Time,09-15-23
UX/UI Designer,Design user interfaces,"UI/UX Design, Prototyping","£40,000 - £70,000",London,Design Studios,Junior,Design,Full-Time,10-20-23
Database Analyst,Manage databases,"SQL, Oracle, Database Management","£40,000 - £65,000",Manchester,Data Solutions,Mid-Level,Database,Full-Time,11-25-23
UI Developer,Design web interfaces,"HTML, CSS, JavaScript","£35,000 - £55,000",Birmingham,Web Creations,Junior,Web Development,Full-Time,12-10-23
System Administrator,Maintain systems,"Windows Server, Networking","£45,000 - £70,000",Edinburgh,System Services,Mid-Level,IT Services,Full-Time,12-15-23
AI/ML Engineer,Develop AI models,"Python, TensorFlow, AI/ML","£55,000 - £85,000",Glasgow,AI Innovations,Mid-Level,Artificial Intelligence,Full-Time,12-20-23
IT Auditor,Audit IT systems,"Audit, Risk Management","£50,000 - £80,000",Leeds,Audit Experts,Mid-Level,Audit,Full-Time,12-25-23
Network Security Engineer,Secure networks,"Security, Firewall","£55,000 - £90,000",Bristol,SecureNet,Mid-Level,Security,Full-Time,12-30-23
Software Tester,Test software,"Manual Testing, Bug Tracking","£30,000 - £50,000",Newcastle,QA Solutions,Entry-Level,Quality Assurance,Full-Time,12-31-23
Cloud Solutions Architect,Design cloud solutions,"AWS, Azure, Cloud Architecture","£60,000 - £90,000",Cardiff,Cloud Innovators,Senior,Cloud Computing,Full-Time,12-10-23
IT Consultant,Provide IT consultancy,"Consulting, IT Strategy","£60,000 - £90,000",Birmingham,IT Consultants,Senior,Consulting,Full-Time,12-15-23
Front-end Developer,Develop web interfaces,"JavaScript, React","£40,000 - £75,000",Edinburgh,Web Studios,Mid-Level,Web Development,Full-Time,12-20-23
Business Analyst,Analyze business needs,"Business Analysis, Requirements","£45,000 - £80,000",Glasgow,Biz Analysts,Mid-Level,Business Analysis,Full-Time,12-25-23
IT Helpdesk Support,Provide IT support,"Troubleshooting, Customer Service","£25,000 - £40,000",Leeds,IT Helpdesk,Entry-Level,Support,Full-Time,12-30-23
DevSecOps Engineer,Secure DevOps pipeline,"DevSecOps, CI/CD","£60,000 - £95,000",Bristol,Secure DevOps,Mid-Level,DevOps,Full-Time,12-31-23
Data Engineer,Build data pipelines,"ETL, Big Data, SQL","£50,000 - £85,000",Cardiff,Data Engineers,Mid-Level,Data Engineering,Full-Time,01-05-22
IT Trainer,Train IT professionals,"Training, IT Education","£35,000 - £60,000",Manchester,IT Training,Junior,Education,Full-Time,02-10-22
Cloud Security Engineer,Secure cloud,"Cloud Security, Encryption","£65,000 - £100,000",Birmingham,SecureCloud,Mid-Level,Security,Full-Time,03-15-22
IT Procurement Specialist,Procure IT resources,"Procurement, Vendor Management","£50,000 - £80,000",Edinburgh,ProcureIT,Mid-Level,Procurement,Full-Time,04-20-22
UX Researcher,Conduct UX research,"User Research, UX Design","£45,000 - £75,000",Glasgow,UX Labs,Mid-Level,Design,Full-Time,05-25-22
Blockchain Developer,Develop blockchain,"Blockchain, Solidity","£55,000 - £90,000",Leeds,Blockchain Tech,Mid-Level,Blockchain,Full-Time,06-30-22
IT Risk Analyst,Analyze IT risks,"Risk Assessment, Compliance","£50,000 - £80,000",Cardiff,Risk Analysts,Mid-Level,Risk Management,Full-Time,07-05-22
Cloud Support Engineer,Support cloud,"AWS, Azure, Cloud Services","£40,000 - £70,000",London,Cloud Support,Junior,Support,Full-Time,08-10-22
IT Sales Manager,Manage IT sales team,"Sales, IT Sales","£70,000 - £110,000",Manchester,Sales Leaders,Senior,Sales,Full-Time,09-15-22
Data Privacy Officer,Ensure data privacy,"GDPR, Data Protection","£55,000 - £85,000",Birmingham,Data Privacy,Mid-Level,Data Privacy,Full-Time,10-20-22
Software Architect,Design software,"Architecture, Design Patterns","£75,000 - £120,000",Edinburgh,Software Architects,Senior,Software Design,Full-Time,11-25-22
IT Quality Analyst,Ensure software quality,"QA, Testing","£45,000 - £75,000",Glasgow,QA Analysts,Mid-Level,Quality Assurance,Full-Time,12-10-22
Mobile App Developer,Develop mobile apps,"iOS, Android, Mobile Development","£50,000 - £90,000",Leeds,Mobile Devs,Mid-Level,Mobile Development,Full-Time,12-15-22
IT Procurement Manager,Manage procurement,"Procurement, Supply Chain","£70,000 - £110,000",Cardiff,Procurement Mgmt,Senior,Procurement,Full-Time,12-20-22
IT Compliance Officer,Ensure IT compliance,"Compliance, Regulations","£60,000 - £95,000",London,Compliance Experts,Mid-Level,Compliance,Full-Time,12-25-22
Full-stack Developer,Develop full-stack apps,"JavaScript, Node.js","£55,000 - £90,000",Manchester,Full-stack Devs,Mid-Level,Web Development,Full-Time,12-30-22
IT Business Analyst,Analyze IT needs,"Business Analysis, IT Strategy","£50,000 - £85,000",Birmingham,IT Analysts,Mid-Level,Business Analysis,Full-Time,12-31-22
IT Trainer Assistant,Assist IT training,"Training, IT Education","£30,000 - £50,000",Edinburgh,IT Training Assist,Entry-Level,Education,Full-Time,12-10-23
AI Ethics Consultant,Ensure AI ethics,"Ethics, AI Governance","£60,000 - £100,000",Glasgow,AI Ethics,Mid-Level,Ethics,Full-Time,12-15-23
IT Support Specialist,Provide IT support,"Windows, Troubleshooting","£35,000 - £55,000",Leeds,IT Support Specialists,Junior,Support,Full-Time,12-20-23
Data Analytics Manager,Manage data analytics,"Data Analytics, Team Management","£70,000 - £110,000",Cardiff,Data Managers,Senior,Analytics,Full-Time,12-25-23
IT Project Coordinator,Coordinate IT projects,Project Coordination,"£40,000 - £70,000",London,Project Coordinators,Mid-Level,Project Management,Full-Time,12-30-23
Cloud Solutions Analyst,Analyze cloud solutions,"AWS, Azure, Cloud Analysis","£45,000 - £75,000",Manchester,Cloud Analysts,Mid-Level,Cloud Computing,Full-Time,12-31-23
IT Governance Manager,Manage IT governance,"IT Governance, Compliance","£65,000 - £100,000",Birmingham,IT Governance Mgmt,Senior,Governance,Full-Time,01-05-22
Cybersecurity Engineer,Secure IT systems,"Cybersecurity, Penetration Testing","£55,000 - £90,000",Edinburgh,Cybersecurity Engineers,Mid-Level,Security,Full-Time,02-10-22
IT Procurement Analyst,Analyze IT procurement,Procurement Analysis,"£50,000 - £85,000",Glasgow,Procurement Analysts,Mid-Level,Procurement,Full-Time,03-15-22
UX Designer,Design user experiences,"UX Design, Prototyping","£45,000 - £75,000",Leeds,UX Designers,Mid-Level,Design,Full-Time,04-20-22
