Job Title,Job Description,Required Skills,Salary Range,Location,Company,Experience Level,Industry,Job Type,Date Posted
Software Engineer,Develop software,"Java, Python, Software Development","£50,000 - £80,000",London,Tech Solutions,Mid-Level,Software Development,Full-Time,01-05-22
Data Analyst,Analyze data,"SQL, Data Visualization","£40,000 - £65,000",Manchester,Data Insights,Junior,Data Analysis,Full-Time,02-10-22
Network Engineer,Manage networks,"Cisco, Network Troubleshooting","£45,000 - £75,000",Birmingham,Network Experts,Mid-Level,Networking,Full-Time,03-15-22
Cloud Architect,Design cloud solutions,"AWS, Azure, Cloud Architecture","£60,000 - £90,000",Edinburgh,Cloud Innovators,Senior,Cloud Computing,Full-Time,04-20-22
Cybersecurity Analyst,Secure IT systems,"Cybersecurity, Threat Analysis","£50,000 - £80,000",Glasgow,SecureGuard,Mid-Level,Security,Full-Time,05-25-22
IT Project Manager,Manage projects,"PMP, Agile, Project Management","£70,000 - £100,000",Leeds,Project Leaders,Senior,Project Management,Full-Time,06-30-22
Data Scientist,Analyze big data,"R, Python, Machine Learning","£55,000 - £85,000",Sheffield,Data Insights,Mid-Level,Data Science,Full-Time,07-05-22
DevOps Engineer,Streamline devops,"Docker, Jenkins, DevOps","£50,000 - £75,000",Cardiff,DevOps Solutions,Mid-Level,DevOps,Full-Time,08-10-22
IT Support Analyst,Provide IT support,"Windows, Linux, Troubleshooting","£30,000 - £45,000",London,IT Services,Entry-Level,Support,Full-Time,09-15-22
UX/UI Designer,Design user interfaces,"UI/UX Design, Prototyping","£40,000 - £70,000",Manchester,Design Studios,Junior,Design,Full-Time,10-20-22
Database Analyst,Manage databases,"SQL, Oracle, Database Management","£40,000 - £65,000",Birmingham,Data Solutions,Mid-Level,Database,Full-Time,11-25-22
UI Developer,Design web interfaces,"HTML, CSS, JavaScript","£35,000 - £55,000",Edinburgh,Web Creations,Junior,Web Development,Full-Time,12-10-22
System Administrator,Maintain systems,"Windows Server, Networking","£45,000 - £70,000",Glasgow,System Services,Mid-Level,IT Services,Full-Time,12-15-22
AI/ML Engineer,Develop AI models,"Python, TensorFlow, AI/ML","£55,000 - £85,000",Leeds,AI Innovations,Mid-Level,Artificial Intelligence,Full-Time,12-20-22
IT Auditor,Audit IT systems,"Audit, Risk Management","£50,000 - £80,000",Bristol,Audit Experts,Mid-Level,Audit,Full-Time,12-25-22
Network Security Engineer,Secure networks,"Security, Firewall","£55,000 - £90,000",Newcastle,SecureNet,Mid-Level,Security,Full-Time,12-30-22
Software Tester,Test software,"Manual Testing, Bug Tracking","£30,000 - £50,000",Cardiff,QA Solutions,Entry-Level,Quality Assurance,Full-Time,05-25-22
Cloud Solutions Architect,Design cloud solutions,"AWS, Azure, Cloud Architecture","£60,000 - £90,000",London,Cloud Architects,Senior,Cloud Computing,Full-Time,06-30-22
IT Consultant,Provide IT consultancy,"Consulting, IT Strategy","£60,000 - £90,000",Manchester,IT Consultants,Senior,Consulting,Full-Time,07-05-22
Front-end Developer,Develop web interfaces,"JavaScript, React","£40,000 - £75,000",Birmingham,Web Studios,Mid-Level,Web Development,Full-Time,08-10-22
Business Analyst,Analyze business needs,"Business Analysis, Requirements","£45,000 - £80,000",Edinburgh,Biz Analysts,Mid-Level,Business Analysis,Full-Time,09-15-22
IT Helpdesk Support,Provide IT support,"Troubleshooting, Customer Service","£25,000 - £40,000",Glasgow,IT Helpdesk,Entry-Level,Support,Full-Time,10-20-22
DevSecOps Engineer,Secure DevOps pipeline,"DevSecOps, CI/CD","£60,000 - £95,000",Leeds,Secure DevOps,Mid-Level,DevOps,Full-Time,11-25-22
Data Engineer,Build data pipelines,"ETL, Big Data, SQL","£50,000 - £85,000",Bristol,Data Engineers,Mid-Level,Data Engineering,Full-Time,12-10-22
IT Trainer,Train IT professionals,"Training, IT Education","£35,000 - £60,000",Newcastle,IT Training,Junior,Education,Full-Time,12-15-22
Cloud Security Engineer,Secure cloud,"Cloud Security, Encryption","£65,000 - £100,000",Cardiff,SecureCloud,Mid-Level,Security,Full-Time,12-20-22
IT Procurement Specialist,Procure IT resources,"Procurement, Vendor Management","£50,000 - £80,000",Edinburgh,ProcureIT,Mid-Level,Procurement,Full-Time,12-25-22
UX Researcher,Conduct UX research,"User Research, UX Design","£45,000 - £75,000",Glasgow,UX Labs,Mid-Level,Design,Full-Time,12-30-22
Blockchain Developer,Develop blockchain,"Blockchain, Solidity","£55,000 - £90,000",Leeds,Blockchain Tech,Mid-Level,Blockchain,Full-Time,01-01-23
IT Risk Analyst,Analyze IT risks,"Risk Assessment, Compliance","£50,000 - £80,000",Cardiff,Risk Analysts,Mid-Level,Risk Management,Full-Time,01-02-23
Cloud Support Engineer,Support cloud,"AWS, Azure, Cloud Services","£40,000 - £70,000",London,Cloud Support,Junior,Support,Full-Time,01-03-23
IT Sales Manager,Manage IT sales team,"Sales, IT Sales","£70,000 - £110,000",Manchester,Sales Leaders,Senior,Sales,Full-Time,01-04-23
Data Privacy Officer,Ensure data privacy,"GDPR, Data Protection","£55,000 - £85,000",Birmingham,Data Privacy,Mid-Level,Data Privacy,Full-Time,01-05-23
Software Architect,Design software,"Architecture, Design Patterns","£75,000 - £120,000",Edinburgh,Software Architects,Senior,Software Design,Full-Time,01-06-23
IT Quality Analyst,Ensure software quality,"QA, Testing","£45,000 - £75,000",Glasgow,QA Analysts,Mid-Level,Quality Assurance,Full-Time,01-07-23
Mobile App Developer,Develop mobile apps,"iOS, Android, Mobile Development","£50,000 - £90,000",Leeds,Mobile Devs,Mid-Level,Mobile Development,Full-Time,01-08-23
IT Procurement Manager,Manage procurement,"Procurement, Supply Chain","£70,000 - £110,000",Cardiff,Procurement Mgmt,Senior,Procurement,Full-Time,01-09-23
IT Compliance Officer,Ensure IT compliance,"Compliance, Regulations","£60,000 - £95,000",London,Compliance Experts,Mid-Level,Compliance,Full-Time,01-10-23
Full-stack Developer,Develop full-stack apps,"JavaScript, Node.js","£55,000 - £90,000",Manchester,Full-stack Devs,Mid-Level,Web Development,Full-Time,01-11-23
IT Business Analyst,Analyze IT needs,"Business Analysis, IT Strategy","£50,000 - £85,000",Birmingham,IT Analysts,Mid-Level,Business Analysis,Full-Time,01-12-23
IT Trainer Assistant,Assist IT training,"Training, IT Education","£30,000 - £50,000",Edinburgh,IT Training Assist,Entry-Level,Education,Full-Time,01-13-23
AI Ethics Consultant,Ensure AI ethics,"Ethics, AI Governance","£60,000 - £100,000",Glasgow,AI Ethics,Mid-Level,Ethics,Full-Time,01-14-23
IT Support Specialist,Provide IT support,"Windows, Troubleshooting","£35,000 - £55,000",Leeds,IT Support Specialists,Junior,Support,Full-Time,01-15-23
Data Analytics Manager,Manage data analytics,"Data Analytics, Team Management","£70,000 - £110,000",Cardiff,Data Managers,Senior,Analytics,Full-Time,01-16-23
IT Project Coordinator,Coordinate IT projects,Project Coordination,"£40,000 - £70,000",London,Project Coordinators,Mid-Level,Project Management,Full-Time,01-17-23
Cloud Solutions Analyst,Analyze cloud solutions,"AWS, Azure, Cloud Analysis","£45,000 - £75,000",Manchester,Cloud Analysts,Mid-Level,Cloud Computing,Full-Time,01-18-23
IT Governance Manager,Manage IT governance,"IT Governance, Compliance","£65,000 - £100,000",Birmingham,IT Governance Mgmt,Senior,Governance,Full-Time,01-19-23
Cybersecurity Engineer,Secure IT systems,"Cybersecurity, Penetration Testing","£55,000 - £90,000",Edinburgh,Cybersecurity Engineers,Mid-Level,Security,Full-Time,01-20-23
IT Procurement Analyst,Analyze IT procurement,Procurement Analysis,"£50,000 - £85,000",Glasgow,Procurement Analysts,Mid-Level,Procurement,Full-Time,01-21-23
UX Designer,Design user experiences,"UX Design, Prototyping","£45,000 - £75,000",Leeds,UX Designers,Mid-Level,Design,Full-Time,01-22-23
Software Developer,Develop web applications,"Java, JavaScript, HTML/CSS","£45,000 - £75,000",London,Tech Innovations,Mid-Level,Software Development,Full-Time,03-15-21
Data Analyst,Analyze data trends,"SQL, Excel, Data Analysis","£40,000 - £70,000",Manchester,Data Insights,Junior,Data Analysis,Full-Time,04-20-21
Network Engineer,Manage network infrastructure,"Cisco, Networking","£50,000 - £80,000",Birmingham,Network Experts,Mid-Level,Networking,Full-Time,06-10-21
Cloud Architect,Design cloud solutions,"AWS, Azure, Cloud Design","£60,000 - £95,000",Edinburgh,Cloud Innovators,Senior,Cloud Computing,Full-Time,08-25-21
Cybersecurity Analyst,Ensure IT security,"Cybersecurity, Threat Detection","£55,000 - £90,000",Glasgow,SecureGuard,Mid-Level,Security,Full-Time,10-05-21
IT Project Manager,Manage IT projects,"Project Management, Agile","£70,000 - £110,000",Leeds,Project Leaders,Senior,Project Management,Full-Time,11-15-21
Data Scientist,Analyze big data,"Python, Machine Learning","£65,000 - £100,000",Sheffield,Data Insights,Mid-Level,Data Science,Full-Time,12-20-21
IT Support Specialist,Provide IT support,"Windows, Troubleshooting","£40,000 - £70,000",Cardiff,IT Support Experts,Junior,Support,Full-Time,02-10-21
Full-stack Developer,Develop web applications,"JavaScript, Node.js, HTML/CSS","£50,000 - £85,000",London,Web Creations,Mid-Level,Web Development,Full-Time,03-20-21
Data Analyst,Analyze data trends,"SQL, Excel, Data Analysis","£45,000 - £75,000",Manchester,Data Insights,Junior,Data Analysis,Full-Time,04-15-21
Network Engineer,Manage network infrastructure,"Cisco, Networking","£55,000 - £90,000",Birmingham,Network Experts,Mid-Level,Networking,Full-Time,05-12-21
Cloud Architect,Design cloud solutions,"AWS, Azure, Cloud Design","£70,000 - £110,000",Edinburgh,Cloud Innovations,Senior,Cloud Computing,Full-Time,06-25-21
Cybersecurity Analyst,Ensure IT security,"Cybersecurity, Threat Detection","£60,000 - £95,000",Glasgow,SecureGuard,Mid-Level,Security,Full-Time,07-18-21
IT Project Manager,Manage IT projects,"Project Management, Agile","£75,000 - £120,000",Leeds,Project Leaders,Senior,Project Management,Full-Time,08-30-21
Data Scientist,Analyze big data,"Python, Machine Learning","£65,000 - £100,000",Sheffield,Data Insights,Mid-Level,Data Science,Full-Time,09-14-21
Cloud Solutions Analyst,Analyze cloud solutions,"AWS, Azure, Cloud Analysis","£55,000 - £90,000",Manchester,Cloud Analysts,Mid-Level,Cloud Computing,Full-Time,10-22-21
IT Governance Manager,Manage IT governance,"IT Governance, Compliance","£80,000 - £130,000",Birmingham,IT Governance Mgmt,Senior,Governance,Full-Time,11-09-21
Software Developer,Develop software,"Java, Python, Software Development","£50,000 - £85,000",Bristol,Tech Solutions,Mid-Level,Software Development,Full-Time,12-04-21
IT Support Specialist,Provide IT support,"Windows, Troubleshooting","£40,000 - £70,000",Cardiff,IT Support Experts,Junior,Support,Full-Time,02-10-21
Full-stack Developer,Develop web applications,"JavaScript, Node.js, HTML/CSS","£50,000 - £85,000",London,Web Creations,Mid-Level,Web Development,Full-Time,03-20-21
Data Analyst,Analyze data trends,"SQL, Excel, Data Analysis","£45,000 - £75,000",Manchester,Data Insights,Junior,Data Analysis,Full-Time,04-15-21
Network Engineer,Manage network infrastructure,"Cisco, Networking","£55,000 - £90,000",Birmingham,Network Experts,Mid-Level,Networking,Full-Time,05-12-21
Cloud Architect,Design cloud solutions,"AWS, Azure, Cloud Design","£70,000 - £110,000",Edinburgh,Cloud Innovations,Senior,Cloud Computing,Full-Time,06-25-21
Cybersecurity Analyst,Ensure IT security,"Cybersecurity, Threat Detection","£60,000 - £95,000",Glasgow,SecureGuard,Mid-Level,Security,Full-Time,07-18-21
IT Project Manager,Manage IT projects,"Project Management, Agile","£75,000 - £120,000",Leeds,Project Leaders,Senior,Project Management,Full-Time,08-30-21
Data Scientist,Analyze big data,"Python, Machine Learning","£65,000 - £100,000",Sheffield,Data Insights,Mid-Level,Data Science,Full-Time,09-14-21
Cloud Solutions Analyst,Analyze cloud solutions,"AWS, Azure, Cloud Analysis","£55,000 - £90,000",Manchester,Cloud Analysts,Mid-Level,Cloud Computing,Full-Time,10-22-21
IT Governance Manager,Manage IT governance,"IT Governance, Compliance","£80,000 - £130,000",Birmingham,IT Governance Mgmt,Senior,Governance,Full-Time,11-09-21
Software Developer,Develop software,"Java, Python, Software Development","£50,000 - £85,000",Bristol,Tech Solutions,Mid-Level,Software Development,Full-Time,12-04-21
IT Support Specialist,Provide IT support,"Windows, Troubleshooting","£42,000 - £72,000",Glasgow,IT Solutions,Junior,Support,Full-Time,02-28-21
DevOps Engineer,Streamline devops,"Docker, Jenkins, DevOps","£55,000 - £90,000",London,DevOps Solutions,Mid-Level,DevOps,Full-Time,03-25-21
Database Administrator,Manage databases,"SQL, Database Management","£50,000 - £85,000",Manchester,Data Management,Mid-Level,Database,Full-Time,04-19-21
UX Designer,Design user experiences,"UX Design, Prototyping","£45,000 - £75,000",Birmingham,UX Innovations,Junior,Design,Full-Time,05-15-21
IT Consultant,Provide IT consultancy,"Consulting, IT Strategy","£75,000 - £120,000",Edinburgh,IT Consultancy,Senior,Consulting,Full-Time,06-30-21
Software Tester,Test software,"Manual Testing, Bug Tracking","£40,000 - £70,000",Glasgow,QA Solutions,Junior,Quality Assurance,Full-Time,07-22-21
IT Security Analyst,Ensure IT security,"Security, Threat Analysis","£50,000 - £85,000",Leeds,SecureIT,Mid-Level,Security,Full-Time,08-17-21
Data Engineer,Build data pipelines,"ETL, Big Data, SQL","£60,000 - £95,000",Bristol,Data Engineers,Mid-Level,Data Engineering,Full-Time,09-09-21
Front-end Developer,Develop web interfaces,"HTML, CSS, JavaScript","£45,000 - £75,000",Sheffield,Web Studios,Mid-Level,Web Development,Full-Time,10-02-21
AI/ML Engineer,Develop AI models,"Python, TensorFlow, AI/ML","£70,000 - £110,000",Newcastle,AI Innovations,Mid-Level,Artificial Intelligence,Full-Time,11-27-21
IT Auditor,Audit IT systems,"Audit, Risk Management","£55,000 - £90,000",Cardiff,Audit Experts,Mid-Level,Audit,Full-Time,12-22-21
IT Trainer,Train IT professionals,"Training, IT Education","£35,000 - £60,000",Liverpool,IT Training,Junior,Education,Full-Time,02-15-21
Cloud Security Engineer,Secure cloud,"Cloud Security, Encryption","£70,000 - £110,000",Nottingham,SecureCloud,Mid-Level,Security,Full-Time,03-12-21
IT Procurement Specialist,Procure IT resources,"Procurement, Vendor Management","£55,000 - £90,000",Sheffield,ProcureIT,Mid-Level,Procurement,Full-Time,04-05-21
UX Researcher,Conduct UX research,"User Research, UX Design","£48,000 - £80,000",Bristol,UX Labs,Junior,Design,Full-Time,05-01-21
Blockchain Developer,Develop blockchain,"Blockchain, Solidity","£65,000 - £100,000",Liverpool,Blockchain Tech,Mid-Level,Blockchain,Full-Time,06-18-21
IT Risk Analyst,Analyze IT risks,"Risk Assessment, Compliance","£50,000 - £85,000",Nottingham,Risk Analysts,Mid-Level,Risk Management,Full-Time,07-14-21
Cloud Support Engineer,Support cloud,"AWS, Azure, Cloud Services","£45,000 - £75,000",Sheffield,Cloud Support,Junior,Support,Full-Time,08-09-21
IT Sales Manager,Manage IT sales team,"Sales, IT Sales","£80,000 - £130,000",Manchester,Sales Leaders,Senior,Sales,Full-Time,09-04-21
Data Privacy Officer,Ensure data privacy,"GDPR, Data Protection","£60,000 - £95,000",Birmingham,Data Privacy,Mid-Level,Data Privacy,Full-Time,10-30-21
Software Architect,Design software,"Architecture, Design Patterns","£90,000 - £140,000",Nottingham,Software Architects,Senior,Software Design,Full-Time,11-25-21
IT Quality Analyst,Ensure software quality,"QA, Testing","£55,000 - £90,000",Sheffield,QA Analysts,Mid-Level,Quality Assurance,Full-Time,12-20-21
Mobile App Developer,Develop mobile apps,"iOS, Android, Mobile Development","£70,000 - £110,000",Liverpool,Mobile Devs,Mid-Level,Mobile Development,Full-Time,02-22-21
IT Procurement Manager,Manage procurement,"Procurement, Supply Chain","£75,000 - £120,000",Nottingham,Procurement Mgmt,Senior,Procurement,Full-Time,03-19-21
IT Compliance Officer,Ensure IT compliance,"Compliance, Regulations","£65,000 - £100,000",Manchester,Compliance Experts,Mid-Level,Compliance,Full-Time,04-14-21
Full-stack Developer,Develop web applications,"JavaScript, Node.js, HTML/CSS","£55,000 - £90,000",Birmingham,Web Creations,Mid-Level,Web Development,Full-Time,05-11-21
IT Business Analyst,Analyze IT needs,"Business Analysis, IT Strategy","£60,000 - £95,000",Edinburgh,IT Analysts,Mid-Level,Business Analysis,Full-Time,06-06-21
IT Trainer,Train IT professionals,"Training, IT Education","£40,000 - £70,000",Glasgow,IT Training,Junior,Education,Full-Time,07-01-21
AI Ethics Consultant,Ensure AI ethics,"Ethics, AI Governance","£75,000 - £120,000",Leeds,AI Ethics,Senior,Ethics,Full-Time,08-27-21
IT Support Specialist,Provide IT support,"Windows, Troubleshooting","£45,000 - £75,000",Sheffield,IT Support Specialists,Mid-Level,Support,Full-Time,09-22-21
Data Analytics Manager,Manage data analytics,"Data Analytics, Team Management","£80,000 - £130,000",Nottingham,Data Managers,Senior,Analytics,Full-Time,10-18-21
IT Project Coordinator,Coordinate IT projects,Project Coordination,"£50,000 - £85,000",Liverpool,Project Coordinators,Mid-Level,Project Management,Full-Time,11-13-21
Cloud Solutions Analyst,Analyze cloud solutions,"AWS, Azure, Cloud Analysis","£70,000 - £110,000",Birmingham,Cloud Analysts,Mid-Level,Cloud Computing,Full-Time,12-09-21
IT Support Specialist,Provide IT support,"Windows, Troubleshooting","£40,000 - £70,000",Cardiff,IT Support Experts,Junior,Support,Full-Time,02-10-21
Full-stack Developer,Develop web applications,"JavaScript, Node.js, HTML/CSS","£50,000 - £85,000",London,Web Creations,Mid-Level,Web Development,Full-Time,03-20-21
Data Analyst,Analyze data trends,"SQL, Excel, Data Analysis","£45,000 - £75,000",Manchester,Data Insights,Junior,Data Analysis,Full-Time,04-15-21
Network Engineer,Manage network infrastructure,"Cisco, Networking","£55,000 - £90,000",Birmingham,Network Experts,Mid-Level,Networking,Full-Time,05-12-21
Cloud Architect,Design cloud solutions,"AWS, Azure, Cloud Design","£70,000 - £110,000",Edinburgh,Cloud Innovations,Senior,Cloud Computing,Full-Time,06-25-21
Cybersecurity Analyst,Ensure IT security,"Cybersecurity, Threat Detection","£60,000 - £95,000",Glasgow,SecureGuard,Mid-Level,Security,Full-Time,07-18-21
IT Project Manager,Manage IT projects,"Project Management, Agile","£75,000 - £120,000",Leeds,Project Leaders,Senior,Project Management,Full-Time,08-30-21
Data Scientist,Analyze big data,"Python, Machine Learning","£65,000 - £100,000",Sheffield,Data Insights,Mid-Level,Data Science,Full-Time,09-14-21
Cloud Solutions Analyst,Analyze cloud solutions,"AWS, Azure, Cloud Analysis","£55,000 - £90,000",Manchester,Cloud Analysts,Mid-Level,Cloud Computing,Full-Time,10-22-21
